PROVNUM,STATE,RESTOT,BEDCERT,OVERALL_RATING,TOTHRD,PTHRD,WEIGHTED_ALL_CYCLES_SCORE
35144,AZ,101.3,128,4,3.79797,0.06549,23.2
35145,AZ,246.9,312,2,3.23829,0.09711,29.6
35146,AZ,143.6,210,5,3.76442,0.12637,24
35147,AZ,58.4,83,5,3.84084,0.05374,9.6
35151,AZ,82.3,112,4,3.72172,0.10484,17.6
35152,AZ,92.3,120,4,3.66961,0.08842,41.6
35154,AZ,173.7,225,2,4.1229,0.03208,78.8
35158,AZ,51.9,58,4,3.9865,0.11915,25.6
35159,AZ,141.9,196,5,3.61227,0.12466,0
35164,AZ,67.7,106,5,3.60984,0.09706,6.4
35165,AZ,86.9,118,4,3.51984,0.01286,7.2
35166,AZ,139.8,161,2,3.43401,0.09216,66.4
35169,AZ,81.9,120,1,2.73355,0.13644,67.2
35171,AZ,28.6,58,5,3.99268,0.09751,13.6
35172,AZ,90.2,128,2,3.17837,0.04862,59.2
35173,AZ,58.1,68,5,4.28074,0.1231,14.4
35174,AZ,113,200,5,3.484,0.11636,3.2
35175,AZ,141.6,194,2,6.3936,0.05127,51.2
35176,AZ,63.6,72,4,4.04048,0.05635,28
35180,AZ,48.2,64,5,3.38554,0.07232,14.4
35183,AZ,86.8,150,2,3.88091,0.0621,113.2
35189,AZ,89.8,128,4,3.1803,0.12676,8
35190,AZ,76.2,102,4,4.72582,0.16498,11.2
35192,AZ,36.8,60,5,5.21797,0.07699,16.8
35193,AZ,,204,3,,,39.2
35196,AZ,127.4,191,4,3.28147,0.05964,20.8
35197,AZ,101.5,128,5,3.73249,0.15035,12
35199,AZ,21.7,67,5,5.93996,0.39538,9.6
35201,AZ,18.5,57,2,5.08624,0.30659,28.8
35205,AZ,73.5,115,2,2.83574,0.06458,26.4
35207,AZ,,122,2,,,56.8
35214,AZ,56.2,60,5,3.53584,0.15933,19.2
35216,AZ,77.4,100,1,6.81963,0,148.8
35217,AZ,102.3,141,5,5.78796,0.01554,6.4
35225,AZ,83.6,118,3,3.22595,0.10435,40
35231,AZ,21.9,70,5,,,4.8
35232,AZ,77.7,120,5,3.83887,0.13772,9.6
35233,AZ,82.9,114,5,2.98112,0.05382,3.2
35234,AZ,164.9,200,1,,,42.4
35240,AZ,49.1,104,4,4.16887,0.14638,15.2
35241,AZ,109,124,4,3.41053,0.08399,16
35242,AZ,,79,1,,,141.2
35243,AZ,43.7,58,4,3.99567,0,26.4
35244,AZ,52.7,80,4,3.85045,0.18492,24
35245,AZ,106.8,127,3,4.71567,0.06342,15.2
35247,AZ,49.9,60,4,3.66004,0.04324,35.2
35249,AZ,77.2,128,1,3.53245,0.06585,43.2
35250,AZ,162.8,228,3,4.44973,0.01101,37.6
35251,AZ,41.5,66,5,4.37719,0.15351,13.6
35253,AZ,28.2,42,5,4.45886,0.28074,15.2
35254,AZ,108.7,119,3,3.37349,0.04801,34.4
35255,AZ,148.8,170,2,3.98044,0.10447,40.8
35256,AZ,68.2,111,5,5.18399,0.21228,1.6
35257,AZ,50.1,58,5,4.96938,0.23172,20.8
35258,AZ,,74,2,,,34.4
35259,AZ,33.5,48,5,4.8653,0.26986,18.4
35260,AZ,27.2,64,3,,,25.6
35262,AZ,78.1,88,3,3.29325,0.01619,20
35263,AZ,54.4,60,2,4.0233,0.16201,103.2
35264,AZ,54.1,75,4,5.05535,0.11327,39.2
35265,AZ,64.3,72,5,4.67488,0.15858,2.4
35266,AZ,37.1,38,5,5.70202,0.69233,12.8
35267,AZ,28.1,90,4,3.89362,0.26451,12.8
35268,AZ,37.1,38,4,5.36883,0.56508,4.8
35270,AZ,109.1,192,2,3.01104,0.0629,46.4
35272,AZ,31.6,36,5,4.88929,0.11497,8.8
35273,AZ,27.3,36,5,5.14088,0.09702,0
35274,AZ,,31,1,,,29.6
35275,AZ,48.3,54,5,6.01263,0.36541,0
35276,AZ,120.8,134,2,,,52.8
35277,AZ,92.3,112,4,3.71099,0.12502,22.4
35279,AZ,58.6,78,5,6.26896,0.15502,9.6
35280,AZ,50.6,70,3,5.54687,0.31799,36
35281,AZ,21.5,24,5,5.54261,0.28211,3.2
35282,AZ,57,70,5,5.11221,0.38539,1.6
35283,AZ,62.5,70,5,5.72988,0.36718,0
35284,AZ,114.8,120,5,5.40426,0.06455,16
35285,AZ,29.9,32,4,5.00827,0.36679,13.6
35286,AZ,42.3,72,3,5.8394,0.54579,28.8
35287,AZ,14.9,19,5,7.49964,0.59167,10.4
35288,AZ,30.9,36,4,4.07316,0.52797,16.8
35289,AZ,78.6,96,2,5.03364,0.19284,45.6
35290,AZ,33.1,120,4,,,14.4
35291,AZ,71.5,96,,4.69355,0.29454,.
35292,AZ,32.1,103,,6.06629,0.42285,.
35293,AZ,30.7,46,,5.38801,0.42006,.
35294,AZ,16.5,66,,,,.
45070,AR,78.7,140,4,3.78804,0.04436,46.4
45098,AR,114,152,1,,,99.2
45125,AR,55.7,87,5,4.70408,0.0568,24.8
